WaferID, Point No , Film Thickness , Fit Rate , X[mm] , Y[mm] 
 WMCTE191ESB7,1,3389,990,0,-3.6
 WMCTE191ESB7,2,3385,992,19.3,-19.3
 WMCTE191ESB7,3,3382,992,19.3,19.3
 WMCTE191ESB7,4,3367,994,-47.5,-36.4
 WMCTE191ESB7,5,3367,994,-57.9,19.3
 WMCTE191ESB7,6,3366,994,-19.3,-57.9
 WMCTE191ESB7,7,3365,995,-19.3,57.9
 WMCTE191ESB7,8,3361,997,71.2,-3.6
 WMCTE191ESB7,9,3356,997,57.9,57.9
 WMCTE191ESB7,10,3351,996,-71.2,61.9
 WMCTE191ESB7,11,3348,995,19.3,-96.5
 WMCTE191ESB7,12,3347,997,19.3,96.5
 WMCTE191ESB7,13,3347,997,96.5,19.3
 WMCTE191ESB7,14,3349,996,71.2,-69.2
 WMCTE191ESB7,15,3337,995,-96.5,-57.9
 WMCTE191ESB7,16,3337,995,-57.9,-96.5
 WMCTE191ESB7,17,3338,996,-57.9,96.5
 WMCTE191ESB7,18,3335,998,94.9,61.8
 WMCTE191ESB7,19,3332,996,-118.6,-3.6
 WMCTE191ESB7,20,3325,998,0,127.4
 WMCTE191ESB7,21,3320,997,0,-134.7
 WMCTE191ESB7,22,3317,997,-96.5,96.5
 WMCTE191ESB7,23,3321,997,96.5,-96.5
 WMCTE191ESB7,24,3317,999,136.2,19.3
 WMCTE191ESB7,25,3313,998,71.2,127.4
 WMCTE191ESB7,26,3324,999,141.9,-35.9
 WMCTE191ESB7,27,3358,998,-136.2,-57.9
 WMCTE191ESB7,28,3358,998,-136.2,57.9
 WMCTE191ESB7,29,3360,998,-57.9,-136.2
 WMCTE191ESB7,30,3356,998,-57.9,136.2
 WMCTE191ESB7,31,3369,998,57.9,-136.2
 WMCTE191ESB7,32,3358,999,136.2,57.9
 GD7LB591JKH1,1,3376,988,0,-3.6
 GD7LB591JKH1,2,3376,990,19.3,-19.3
 GD7LB591JKH1,3,3375,990,19.3,19.3
 GD7LB591JKH1,4,3365,993,-47.5,-36.4
 GD7LB591JKH1,5,3367,993,-57.9,19.3
 GD7LB591JKH1,6,3366,993,-19.3,-57.9
 GD7LB591JKH1,7,3368,994,-19.3,57.9
 GD7LB591JKH1,8,3360,996,71.2,-3.6
 GD7LB591JKH1,9,3354,996,57.9,57.9
 GD7LB591JKH1,10,3349,995,-71.2,61.9
 GD7LB591JKH1,11,3346,995,19.3,-96.5
 GD7LB591JKH1,12,3347,997,19.3,96.5
 GD7LB591JKH1,13,3346,997,96.5,19.3
 GD7LB591JKH1,14,3345,996,71.2,-69.2
 GD7LB591JKH1,15,3339,995,-96.5,-57.9
 GD7LB591JKH1,16,3338,995,-57.9,-96.5
 GD7LB591JKH1,17,3337,996,-57.9,96.5
 GD7LB591JKH1,18,3339,997,94.9,61.8
 GD7LB591JKH1,19,3334,995,-118.6,-3.6
 GD7LB591JKH1,20,3328,997,0,127.4
