WaferID, Point No , Film Thickness , Fit Rate , X[mm] , Y[mm] 
AANBD202TEC1,1,3372,992,0,-3.6
AANBD202TEC1,2,3376,992,19.3,-19.3
AANBD202TEC1,3,3375,993,19.3,19.3
AANBD202TEC1,4,3373,991,-47.5,-36.4
AANBD202TEC1,5,3373,992,-57.9,19.3
AANBD202TEC1,6,3375,992,-19.3,-57.9
AANBD202TEC1,7,3372,993,-19.3,57.9
AANBD202TEC1,8,3370,993,71.2,-3.6
AANBD202TEC1,9,3367,993,57.9,57.9
AANBD202TEC1,10,3364,992,-71.2,61.9
AANBD202TEC1,11,3366,991,19.3,-96.5
AANBD202TEC1,12,3363,993,19.3,96.5
AANBD202TEC1,13,3367,993,96.5,19.3
AANBD202TEC1,14,3370,991,71.2,-69.2
AANBD202TEC1,15,3361,990,-96.5,-57.9
AANBD202TEC1,16,3361,991,-57.9,-96.5
AANBD202TEC1,17,3359,992,-57.9,96.5
AANBD202TEC1,18,3364,993,94.9,61.8
AANBD202TEC1,19,3357,990,-118.6,-3.6
AANBD202TEC1,20,3354,993,0,127.4
AANBD202TEC1,21,3354,991,0,-134.7
AANBD202TEC1,22,3348,993,-96.5,96.5
AANBD202TEC1,23,3352,991,96.5,-96.5
AANBD202TEC1,24,3353,993,136.2,19.3
AANBD202TEC1,25,3350,994,71.2,127.4
AANBD202TEC1,26,3356,993,141.9,-35.9
AANBD202TEC1,27,3386,992,-136.2,-57.9
AANBD202TEC1,28,3390,993,-136.2,57.9
AANBD202TEC1,29,3388,993,-57.9,-136.2
AANBD202TEC1,30,3387,995,-57.9,136.2
AANBD202TEC1,31,3390,992,57.9,-136.2
AANBD202TEC1,32,3392,996,136.2,57.9
AANBD159TED5,1,3365,990,0,-3.6
AANBD159TED5,2,3363,990,19.3,-19.3
AANBD159TED5,3,3364,991,19.3,19.3
AANBD159TED5,4,3360,989,-47.5,-36.4
AANBD159TED5,5,3358,989,-57.9,19.3
AANBD159TED5,6,3357,989,-19.3,-57.9
AANBD159TED5,7,3358,991,-19.3,57.9
AANBD159TED5,8,3356,991,71.2,-3.6
AANBD159TED5,9,3355,991,57.9,57.9
AANBD159TED5,10,3352,989,-71.2,61.9
AANBD159TED5,11,3353,987,19.3,-96.5
AANBD159TED5,12,3354,991,19.3,96.5
AANBD159TED5,13,3353,991,96.5,19.3
AANBD159TED5,14,3354,988,71.2,-69.2
AANBD159TED5,15,3351,987,-96.5,-57.9
AANBD159TED5,16,3351,987,-57.9,-96.5
AANBD159TED5,17,3351,990,-57.9,96.5
AANBD159TED5,18,3353,990,94.9,61.8
AANBD159TED5,19,3349,987,-118.6,-3.6
AANBD159TED5,20,3349,991,0,127.4
AANBD159TED5,21,3345,988,0,-134.7
AANBD159TED5,22,3345,990,-96.5,96.5
AANBD159TED5,23,3345,988,96.5,-96.5
AANBD159TED5,24,3346,991,136.2,19.3
AANBD159TED5,25,3344,991,71.2,127.4
AANBD159TED5,26,3348,990,141.9,-35.9
AANBD159TED5,27,3367,989,-136.2,-57.9
AANBD159TED5,28,3367,990,-136.2,57.9
AANBD159TED5,29,3367,990,-57.9,-136.2
AANBD159TED5,30,3365,993,-57.9,136.2
AANBD159TED5,31,3368,990,57.9,-136.2
AANBD159TED5,32,3366,993,136.2,57.9
AANBD182TEC1,1,3371,991,0,-3.6
AANBD182TEC1,2,3378,991,19.3,-19.3
AANBD182TEC1,3,3379,991,19.3,19.3
AANBD182TEC1,4,3378,990,-47.5,-36.4
AANBD182TEC1,5,3375,991,-57.9,19.3
AANBD182TEC1,6,3378,990,-19.3,-57.9
AANBD182TEC1,7,3376,992,-19.3,57.9
AANBD182TEC1,8,3371,991,71.2,-3.6
AANBD182TEC1,9,3370,992,57.9,57.9
AANBD182TEC1,10,3369,991,-71.2,61.9
AANBD182TEC1,11,3372,988,19.3,-96.5
AANBD182TEC1,12,3369,991,19.3,96.5
AANBD182TEC1,13,3369,991,96.5,19.3
AANBD182TEC1,14,3372,989,71.2,-69.2
AANBD182TEC1,15,3367,988,-96.5,-57.9
AANBD182TEC1,16,3370,989,-57.9,-96.5
AANBD182TEC1,17,3365,991,-57.9,96.5
AANBD182TEC1,18,3366,991,94.9,61.8
AANBD182TEC1,19,3364,988,-118.6,-3.6
AANBD182TEC1,20,3357,992,0,127.4
AANBD182TEC1,21,3359,989,0,-134.7
AANBD182TEC1,22,3353,991,-96.5,96.5
AANBD182TEC1,23,3357,989,96.5,-96.5
AANBD182TEC1,24,3354,991,136.2,19.3
AANBD182TEC1,25,3352,993,71.2,127.4
AANBD182TEC1,26,3357,991,141.9,-35.9
AANBD182TEC1,27,3392,990,-136.2,-57.9
AANBD182TEC1,28,3396,992,-136.2,57.9
AANBD182TEC1,29,3393,991,-57.9,-136.2
AANBD182TEC1,30,3392,994,-57.9,136.2
AANBD182TEC1,31,3394,990,57.9,-136.2
AANBD182TEC1,32,3395,994,136.2,57.9
AANBD160TEG6,1,3365,990,0,-3.6
AANBD160TEG6,2,3364,989,19.3,-19.3
AANBD160TEG6,3,3364,991,19.3,19.3
AANBD160TEG6,4,3359,988,-47.5,-36.4
AANBD160TEG6,5,3360,989,-57.9,19.3
AANBD160TEG6,6,3357,989,-19.3,-57.9
AANBD160TEG6,7,3359,990,-19.3,57.9
AANBD160TEG6,8,3357,990,71.2,-3.6
AANBD160TEG6,9,3357,990,57.9,57.9
AANBD160TEG6,10,3355,989,-71.2,61.9
AANBD160TEG6,11,3353,987,19.3,-96.5
AANBD160TEG6,12,3355,990,19.3,96.5
AANBD160TEG6,13,3354,990,96.5,19.3
AANBD160TEG6,14,3353,988,71.2,-69.2
AANBD160TEG6,15,3352,987,-96.5,-57.9
AANBD160TEG6,16,3351,987,-57.9,-96.5
AANBD160TEG6,17,3353,989,-57.9,96.5
AANBD160TEG6,18,3353,990,94.9,61.8
AANBD160TEG6,19,3351,987,-118.6,-3.6
AANBD160TEG6,20,3350,990,0,127.4
AANBD160TEG6,21,3344,987,0,-134.7
AANBD160TEG6,22,3347,989,-96.5,96.5
AANBD160TEG6,23,3345,987,96.5,-96.5
AANBD160TEG6,24,3346,990,136.2,19.3
AANBD160TEG6,25,3345,991,71.2,127.4
AANBD160TEG6,26,3346,989,141.9,-35.9
AANBD160TEG6,27,3369,989,-136.2,-57.9
AANBD160TEG6,28,3368,990,-136.2,57.9
AANBD160TEG6,29,3367,990,-57.9,-136.2
AANBD160TEG6,30,3366,992,-57.9,136.2
AANBD160TEG6,31,3366,989,57.9,-136.2
AANBD160TEG6,32,3365,992,136.2,57.9
AANBD204TED2,1,3399,992,0,-3.6
AANBD204TED2,2,3390,990,19.3,-19.3
AANBD204TED2,3,3392,992,19.3,19.3
AANBD204TED2,4,3382,989,-47.5,-36.4
AANBD204TED2,5,3384,990,-57.9,19.3
AANBD204TED2,6,3382,990,-19.3,-57.9
AANBD204TED2,7,3383,992,-19.3,57.9
AANBD204TED2,8,3380,991,71.2,-3.6
AANBD204TED2,9,3379,992,57.9,57.9
AANBD204TED2,10,3378,990,-71.2,61.9
AANBD204TED2,11,3378,988,19.3,-96.5
AANBD204TED2,12,3381,991,19.3,96.5
AANBD204TED2,13,3379,991,96.5,19.3
AANBD204TED2,14,3378,989,71.2,-69.2
AANBD204TED2,15,3376,988,-96.5,-57.9
AANBD204TED2,16,3375,988,-57.9,-96.5
AANBD204TED2,17,3377,991,-57.9,96.5
AANBD204TED2,18,3377,991,94.9,61.8
AANBD204TED2,19,3375,988,-118.6,-3.6
AANBD204TED2,20,3376,992,0,127.4
