WaferID, Point No , Film Thickness , Fit Rate , X[mm] , Y[mm] 
AANBD202TEC1,1,3369,991,0,-3.6
AANBD202TEC1,2,3371,991,19.3,-19.3
AANBD202TEC1,3,3371,991,19.3,19.3
AANBD202TEC1,4,3370,992,-47.5,-36.4
AANBD202TEC1,5,3369,993,-57.9,19.3
AANBD202TEC1,6,3371,992,-19.3,-57.9
AANBD202TEC1,7,3369,992,-19.3,57.9
AANBD202TEC1,8,3367,991,71.2,-3.6
AANBD202TEC1,9,3366,990,57.9,57.9
AANBD202TEC1,10,3364,992,-71.2,61.9
AANBD202TEC1,11,3366,990,19.3,-96.5
AANBD202TEC1,12,3364,990,19.3,96.5
AANBD202TEC1,13,3366,989,96.5,19.3
AANBD202TEC1,14,3368,990,71.2,-69.2
AANBD202TEC1,15,3362,992,-96.5,-57.9
AANBD202TEC1,16,3362,992,-57.9,-96.5
AANBD202TEC1,17,3361,991,-57.9,96.5
AANBD202TEC1,18,3364,989,94.9,61.8
AANBD202TEC1,19,3359,992,-118.6,-3.6
AANBD202TEC1,20,3358,990,0,127.4
AANBD202TEC1,21,3357,991,0,-134.7
AANBD202TEC1,22,3353,993,-96.5,96.5
AANBD202TEC1,23,3356,989,96.5,-96.5
AANBD202TEC1,24,3357,990,136.2,19.3
AANBD202TEC1,25,3356,989,71.2,127.4
AANBD202TEC1,26,3359,990,141.9,-35.9
AANBD202TEC1,27,3364,994,-135.7,-57.4
AANBD202TEC1,28,3363,994,-135.7,57.4
AANBD202TEC1,29,3363,994,-57.4,-135.7
AANBD202TEC1,30,3364,992,-57.4,135.7
AANBD202TEC1,31,3365,991,57.4,-135.7
AANBD202TEC1,32,3367,990,135.7,57.4
AANBD159TED5,1,3365,990,0,-3.6
AANBD159TED5,2,3363,990,19.3,-19.3
AANBD159TED5,3,3364,990,19.3,19.3
AANBD159TED5,4,3359,991,-47.5,-36.4
AANBD159TED5,5,3358,991,-57.9,19.3
AANBD159TED5,6,3357,990,-19.3,-57.9
AANBD159TED5,7,3357,990,-19.3,57.9
AANBD159TED5,8,3356,989,71.2,-3.6
AANBD159TED5,9,3355,988,57.9,57.9
AANBD159TED5,10,3352,990,-71.2,61.9
AANBD159TED5,11,3352,988,19.3,-96.5
AANBD159TED5,12,3354,988,19.3,96.5
AANBD159TED5,13,3353,987,96.5,19.3
AANBD159TED5,14,3354,987,71.2,-69.2
AANBD159TED5,15,3350,990,-96.5,-57.9
AANBD159TED5,16,3350,990,-57.9,-96.5
AANBD159TED5,17,3350,990,-57.9,96.5
AANBD159TED5,18,3353,987,94.9,61.8
AANBD159TED5,19,3349,991,-118.6,-3.6
AANBD159TED5,20,3349,988,0,127.4
AANBD159TED5,21,3344,990,0,-134.7
AANBD159TED5,22,3345,991,-96.5,96.5
AANBD159TED5,23,3346,987,96.5,-96.5
AANBD159TED5,24,3346,987,136.2,19.3
AANBD159TED5,25,3345,986,71.2,127.4
AANBD159TED5,26,3348,987,141.9,-35.9
AANBD159TED5,27,3352,992,-135.7,-57.4
AANBD159TED5,28,3353,992,-135.7,57.4
AANBD159TED5,29,3352,991,-57.4,-135.7
AANBD159TED5,30,3350,990,-57.4,135.7
AANBD159TED5,31,3353,988,57.4,-135.7
AANBD159TED5,32,3353,987,135.7,57.4
AANBD182TEC1,1,3368,991,0,-3.6
AANBD182TEC1,2,3373,991,19.3,-19.3
AANBD182TEC1,3,3373,991,19.3,19.3
AANBD182TEC1,4,3373,992,-47.5,-36.4
AANBD182TEC1,5,3371,992,-57.9,19.3
AANBD182TEC1,6,3372,991,-19.3,-57.9
AANBD182TEC1,7,3371,991,-19.3,57.9
AANBD182TEC1,8,3369,990,71.2,-3.6
AANBD182TEC1,9,3368,989,57.9,57.9
AANBD182TEC1,10,3367,991,-71.2,61.9
AANBD182TEC1,11,3369,989,19.3,-96.5
AANBD182TEC1,12,3367,989,19.3,96.5
AANBD182TEC1,13,3367,988,96.5,19.3
AANBD182TEC1,14,3369,989,71.2,-69.2
AANBD182TEC1,15,3366,991,-96.5,-57.9
AANBD182TEC1,16,3367,991,-57.9,-96.5
AANBD182TEC1,17,3365,991,-57.9,96.5
AANBD182TEC1,18,3366,987,94.9,61.8
AANBD182TEC1,19,3364,992,-118.6,-3.6
AANBD182TEC1,20,3360,989,0,127.4
AANBD182TEC1,21,3360,990,0,-134.7
AANBD182TEC1,22,3357,992,-96.5,96.5
AANBD182TEC1,23,3360,989,96.5,-96.5
AANBD182TEC1,24,3358,988,136.2,19.3
AANBD182TEC1,25,3357,988,71.2,127.4
AANBD182TEC1,26,3360,988,141.9,-35.9
AANBD182TEC1,27,3367,993,-135.7,-57.4
AANBD182TEC1,28,3366,993,-135.7,57.4
AANBD182TEC1,29,3366,993,-57.4,-135.7
AANBD182TEC1,30,3366,991,-57.4,135.7
AANBD182TEC1,31,3367,989,57.4,-135.7
AANBD182TEC1,32,3368,988,135.7,57.4
AANBD160TEG6,1,3365,990,0,-3.6
AANBD160TEG6,2,3364,990,19.3,-19.3
AANBD160TEG6,3,3364,990,19.3,19.3
AANBD160TEG6,4,3359,991,-47.5,-36.4
AANBD160TEG6,5,3359,991,-57.9,19.3
AANBD160TEG6,6,3357,991,-19.3,-57.9
AANBD160TEG6,7,3359,990,-19.3,57.9
AANBD160TEG6,8,3357,989,71.2,-3.6
AANBD160TEG6,9,3357,988,57.9,57.9
AANBD160TEG6,10,3354,991,-71.2,61.9
AANBD160TEG6,11,3352,989,19.3,-96.5
AANBD160TEG6,12,3355,988,19.3,96.5
AANBD160TEG6,13,3354,987,96.5,19.3
AANBD160TEG6,14,3353,988,71.2,-69.2
AANBD160TEG6,15,3351,991,-96.5,-57.9
AANBD160TEG6,16,3350,991,-57.9,-96.5
AANBD160TEG6,17,3353,990,-57.9,96.5
AANBD160TEG6,18,3353,986,94.9,61.8
AANBD160TEG6,19,3351,990,-118.6,-3.6
AANBD160TEG6,20,3350,988,0,127.4
AANBD160TEG6,21,3344,989,0,-134.7
AANBD160TEG6,22,3346,991,-96.5,96.5
AANBD160TEG6,23,3345,987,96.5,-96.5
AANBD160TEG6,24,3346,987,136.2,19.3
AANBD160TEG6,25,3345,986,71.2,127.4
AANBD160TEG6,26,3346,987,141.9,-35.9
AANBD160TEG6,27,3353,992,-135.7,-57.4
AANBD160TEG6,28,3354,992,-135.7,57.4
AANBD160TEG6,29,3353,991,-57.4,-135.7
AANBD160TEG6,30,3353,990,-57.4,135.7
AANBD160TEG6,31,3352,989,57.4,-135.7
AANBD160TEG6,32,3353,987,135.7,57.4
AANBD204TED2,1,3394,992,0,-3.6
