WaferID, Point No , Film Thickness , Fit Rate , X[mm] , Y[mm] 
 WMCTE191ESB7,1,3410,990,0,-3.6
 WMCTE191ESB7,2,3406,992,19.3,-19.3
 WMCTE191ESB7,3,3403,992,19.3,19.3
 WMCTE191ESB7,4,3388,994,-47.5,-36.4
 WMCTE191ESB7,5,3388,994,-57.9,19.3
 WMCTE191ESB7,6,3387,994,-19.3,-57.9
 WMCTE191ESB7,7,3386,995,-19.3,57.9
 WMCTE191ESB7,8,3382,997,71.2,-3.6
 WMCTE191ESB7,9,3377,997,57.9,57.9
 WMCTE191ESB7,10,3372,996,-71.2,61.9
 WMCTE191ESB7,11,3369,995,19.3,-96.5
 WMCTE191ESB7,12,3368,997,19.3,96.5
 WMCTE191ESB7,13,3368,997,96.5,19.3
 WMCTE191ESB7,14,3370,996,71.2,-69.2
 WMCTE191ESB7,15,3358,995,-96.5,-57.9
 WMCTE191ESB7,16,3358,995,-57.9,-96.5
 WMCTE191ESB7,17,3359,996,-57.9,96.5
 WMCTE191ESB7,18,3356,998,94.9,61.8
 WMCTE191ESB7,19,3353,996,-118.6,-3.6
 WMCTE191ESB7,20,3346,998,0,127.4
 WMCTE191ESB7,21,3341,997,0,-134.7
 WMCTE191ESB7,22,3338,997,-96.5,96.5
 WMCTE191ESB7,23,3342,997,96.5,-96.5
 WMCTE191ESB7,24,3338,999,136.2,19.3
 WMCTE191ESB7,25,3334,998,71.2,127.4
 WMCTE191ESB7,26,3345,999,141.9,-35.9
 WMCTE191ESB7,27,3379,998,-136.2,-57.9
 WMCTE191ESB7,28,3379,998,-136.2,57.9
 WMCTE191ESB7,29,3381,998,-57.9,-136.2
 WMCTE191ESB7,30,3377,998,-57.9,136.2
 WMCTE191ESB7,31,3390,998,57.9,-136.2
 WMCTE191ESB7,32,3379,999,136.2,57.9
 GD7LB591JKH1,1,3397,988,0,-3.6
 GD7LB591JKH1,2,3397,990,19.3,-19.3
 GD7LB591JKH1,3,3396,990,19.3,19.3
 GD7LB591JKH1,4,3386,993,-47.5,-36.4
 GD7LB591JKH1,5,3388,993,-57.9,19.3
 GD7LB591JKH1,6,3387,993,-19.3,-57.9
 GD7LB591JKH1,7,3389,994,-19.3,57.9
 GD7LB591JKH1,8,3381,996,71.2,-3.6
 GD7LB591JKH1,9,3375,996,57.9,57.9
 GD7LB591JKH1,10,3370,995,-71.2,61.9
 GD7LB591JKH1,11,3367,995,19.3,-96.5
 GD7LB591JKH1,12,3368,997,19.3,96.5
 GD7LB591JKH1,13,3367,997,96.5,19.3
 GD7LB591JKH1,14,3366,996,71.2,-69.2
