WaferID, Point No , Film Thickness , Fit Rate , X[mm] , Y[mm] 
AANBD202TEC1,1,3351,992,0,-3.6
AANBD202TEC1,2,3355,992,19.3,-19.3
AANBD202TEC1,3,3354,993,19.3,19.3
AANBD202TEC1,4,3352,991,-47.5,-36.4
AANBD202TEC1,5,3352,992,-57.9,19.3
AANBD202TEC1,6,3354,992,-19.3,-57.9
AANBD202TEC1,7,3351,993,-19.3,57.9
AANBD202TEC1,8,3349,993,71.2,-3.6
AANBD202TEC1,9,3346,993,57.9,57.9
AANBD202TEC1,10,3343,992,-71.2,61.9
AANBD202TEC1,11,3345,991,19.3,-96.5
AANBD202TEC1,12,3342,993,19.3,96.5
AANBD202TEC1,13,3346,993,96.5,19.3
AANBD202TEC1,14,3349,991,71.2,-69.2
AANBD202TEC1,15,3340,990,-96.5,-57.9
AANBD202TEC1,16,3340,991,-57.9,-96.5
AANBD202TEC1,17,3338,992,-57.9,96.5
AANBD202TEC1,18,3343,993,94.9,61.8
AANBD202TEC1,19,3336,990,-118.6,-3.6
AANBD202TEC1,20,3333,993,0,127.4
AANBD202TEC1,21,3333,991,0,-134.7
AANBD202TEC1,22,3327,993,-96.5,96.5
AANBD202TEC1,23,3331,991,96.5,-96.5
AANBD202TEC1,24,3332,993,136.2,19.3
AANBD202TEC1,25,3329,994,71.2,127.4
AANBD202TEC1,26,3335,993,141.9,-35.9
AANBD202TEC1,27,3365,992,-136.2,-57.9
AANBD202TEC1,28,3369,993,-136.2,57.9
AANBD202TEC1,29,3367,993,-57.9,-136.2
AANBD202TEC1,30,3366,995,-57.9,136.2
AANBD202TEC1,31,3369,992,57.9,-136.2
AANBD202TEC1,32,3371,996,136.2,57.9
AANBD159TED5,1,3344,990,0,-3.6
AANBD159TED5,2,3342,990,19.3,-19.3
AANBD159TED5,3,3343,991,19.3,19.3
AANBD159TED5,4,3339,989,-47.5,-36.4
AANBD159TED5,5,3337,989,-57.9,19.3
AANBD159TED5,6,3336,989,-19.3,-57.9
AANBD159TED5,7,3337,991,-19.3,57.9
AANBD159TED5,8,3335,991,71.2,-3.6
AANBD159TED5,9,3334,991,57.9,57.9
AANBD159TED5,10,3331,989,-71.2,61.9
AANBD159TED5,11,3332,987,19.3,-96.5
AANBD159TED5,12,3333,991,19.3,96.5
AANBD159TED5,13,3332,991,96.5,19.3
AANBD159TED5,14,3333,988,71.2,-69.2
AANBD159TED5,15,3330,987,-96.5,-57.9
AANBD159TED5,16,3330,987,-57.9,-96.5
AANBD159TED5,17,3330,990,-57.9,96.5
AANBD159TED5,18,3332,990,94.9,61.8
AANBD159TED5,19,3328,987,-118.6,-3.6
AANBD159TED5,20,3328,991,0,127.4
