Site_X,Site_Y,Count,Delta_Mean,Delta_Std,Delta_Min,Delta_Max,Avg_Distance,BTM_Mean_Thickness,DMT_Mean_Thickness,Wafer_Example
-135.6,-57.4,8,43.896,4.382,39.049,51.74,1.5,3382.875,3338.979,AANBD160TEG6
-135.6,57.4,8,44.737,6.164,39.677,57.771,1.5,3384.0,3339.263,AANBD160TEG6
-119.3,-3.3,8,21.283,2.712,17.435,24.51,1.523,3365.5,3344.217,AANBD160TEG6
-96.2,-57.4,8,21.092,2.852,18.144,25.536,1.03,3367.25,3346.158,AANBD160TEG6
-96.2,96.2,8,19.299,4.924,11.737,24.343,0.707,3360.125,3340.826,AANBD160TEG6
-71.6,62.4,8,20.837,2.483,16.94,23.528,1.36,3370.0,3349.163,AANBD160TEG6
-57.4,-135.6,8,42.964,5.111,37.261,50.582,1.5,3383.0,3340.036,AANBD160TEG6
-57.4,-96.2,8,21.139,3.435,17.122,25.172,1.03,3367.25,3346.111,AANBD160TEG6
-57.4,18.6,8,22.42,2.315,18.901,25.395,1.581,3375.75,3353.33,AANBD160TEG6
-57.4,96.2,8,20.569,3.772,15.26,24.509,1.03,3368.0,3347.431,AANBD160TEG6
-57.4,135.6,8,42.547,5.968,36.917,53.554,1.5,3382.75,3340.203,AANBD160TEG6
-47.8,-36.2,8,22.7,3.13,16.349,25.191,0.64,3375.75,3353.05,AANBD160TEG6
-18.6,-57.4,8,22.208,2.372,17.745,24.997,1.581,3374.875,3352.667,AANBD160TEG6
-18.6,57.4,8,22.0,2.722,17.814,24.657,1.581,3375.625,3353.625,AANBD160TEG6
0.0,-134.8,8,20.492,3.213,15.242,23.693,0.3,3359.375,3338.883,AANBD160TEG6
0.0,-1.8,8,20.166,4.183,15.288,27.46,3.6,3382.625,3362.458,AANBD160TEG6
0.0,126.7,8,19.454,3.89,15.657,25.569,1.4,3364.375,3344.921,AANBD160TEG6
18.6,-96.2,8,21.736,2.952,17.908,25.224,1.393,3369.125,3347.389,AANBD160TEG6
18.6,-20.2,8,23.275,2.742,18.654,26.493,2.14,3379.75,3356.475,AANBD160TEG6
18.6,18.6,8,23.175,2.343,19.526,25.359,1.838,3381.25,3358.076,AANBD160TEG6
18.6,96.2,8,20.633,2.985,16.741,24.566,1.393,3371.0,3350.367,AANBD160TEG6
57.4,-135.6,8,41.503,5.161,35.088,49.821,1.5,3383.625,3342.122,AANBD160TEG6
57.4,57.4,8,21.825,2.388,18.32,24.095,1.273,3371.625,3349.8,AANBD160TEG6
71.6,-69.1,8,21.987,2.846,18.302,25.919,0.825,3369.875,3347.888,AANBD160TEG6
71.6,-3.3,8,21.51,3.032,17.002,25.331,1.0,3372.0,3350.49,AANBD160TEG6
71.6,126.7,8,21.317,4.536,15.815,26.5,1.612,3358.75,3337.434,AANBD160TEG6
95.4,62.4,8,21.118,3.111,16.921,24.306,1.628,3368.0,3346.882,AANBD160TEG6
96.2,-96.2,8,19.137,4.598,11.581,24.769,0.707,3359.25,3340.114,AANBD160TEG6
96.2,18.6,8,21.03,3.252,16.396,24.526,1.393,3369.875,3348.845,AANBD160TEG6
135.6,18.6,8,19.822,4.57,12.41,24.563,1.769,3359.5,3339.678,AANBD160TEG6
141.4,-36.0,8,21.409,4.078,16.026,26.169,0.906,3360.25,3338.841,AANBD160TEG6
