WaferID,BTM_X_mm,BTM_Y_mm,BTM_Thickness,DMT_X_mm,DMT_Y_mm,DMT_Thickness,Distance_mm,Thickness_Delta,BTM_File,DMT_File
AANBD160TEG6,0.0,-3.6,3365.0,0.0,0.0,3347.977,3.6,17.02300000000014,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD160TEG6,19.3,-19.3,3364.0,18.0,-21.0,3345.346,2.1400934559032696,18.653999999999996,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD160TEG6,19.3,19.3,3364.0,18.0,18.0,3344.136,1.8384776310850246,19.864000000000033,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD160TEG6,-47.5,-36.4,3359.0,-48.0,-36.0,3342.651,0.640312423743284,16.34900000000016,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD160TEG6,-57.9,19.3,3360.0,-57.0,18.0,3339.78,1.5811388300841893,20.2199999999998,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD160TEG6,-19.3,-57.9,3357.0,-18.0,-57.0,3339.255,1.5811388300841893,17.74499999999989,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD160TEG6,-19.3,57.9,3359.0,-18.0,57.0,3341.186,1.5811388300841893,17.81399999999985,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD160TEG6,71.2,-3.6,3357.0,72.0,-3.0,3339.267,0.9999999999999978,17.733000000000175,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD160TEG6,57.9,57.9,3357.0,57.0,57.0,3338.42,1.2727922061357835,18.579999999999927,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD160TEG6,-71.2,61.9,3355.0,-72.0,63.0,3338.06,1.3601470508735438,16.940000000000055,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD160TEG6,19.3,-96.5,3353.0,18.0,-96.0,3334.769,1.3928388277184127,18.231000000000222,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD160TEG6,19.3,96.5,3355.0,18.0,96.0,3338.259,1.3928388277184127,16.740999999999985,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD160TEG6,96.5,19.3,3354.0,96.0,18.0,3336.236,1.3928388277184127,17.764000000000124,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
AANBD160TEG6,71.2,-69.2,3353.0,72.0,-69.0,3334.274,0.82462112512353,18.726000000000113,M484-3375-ttg-TFK-matching.csv,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml
