Site_X,Site_Y,Count,Delta_Mean,Delta_Std,Delta_Min,Delta_Max,Avg_Distance,BTM_Mean_Thickness,TFK_Mean_Thickness,Wafer_Example
-136.2,-57.9,8,-24.164,5.723,-33.28,-19.48,0.006,3361.875,3386.039,AANBD160TEG6
-136.2,57.9,8,-25.412,7.28,-37.38,-20.17,0.006,3363.0,3388.412,AANBD160TEG6
-118.6,-3.6,8,-25.526,7.529,-35.58,-17.85,0.083,3344.5,3370.026,AANBD160TEG6
-96.5,-57.9,8,-25.379,6.989,-32.45,-18.47,0.012,3346.25,3371.629,AANBD160TEG6
-96.5,96.5,8,-26.497,7.886,-37.07,-18.21,0.014,3339.125,3365.622,AANBD160TEG6
-71.2,61.9,8,-25.148,6.807,-32.5,-18.18,0.02,3349.0,3374.148,AANBD160TEG6
-57.9,-136.2,8,-24.504,5.088,-32.88,-19.93,0.006,3362.0,3386.504,AANBD160TEG6
-57.9,-96.5,8,-24.807,7.195,-33.63,-16.99,0.012,3346.25,3371.057,AANBD160TEG6
-57.9,19.3,8,-24.363,6.091,-31.52,-18.01,0.006,3354.75,3379.113,AANBD160TEG6
-57.9,96.5,8,-26.085,7.832,-35.38,-18.14,0.012,3347.0,3373.085,AANBD160TEG6
-57.9,136.2,8,-26.231,7.118,-37.18,-20.15,0.006,3361.75,3387.981,AANBD160TEG6
-47.5,-36.4,8,-24.249,6.489,-31.64,-17.08,0.055,3354.75,3378.999,AANBD160TEG6
-19.3,-57.9,8,-24.285,6.198,-32.38,-18.04,0.006,3353.875,3378.16,AANBD160TEG6
-19.3,57.9,8,-24.962,6.598,-33.15,-17.8,0.006,3354.625,3379.587,AANBD160TEG6
0.0,-134.7,8,-26.643,7.253,-34.35,-18.77,0.053,3338.375,3365.018,AANBD160TEG6
0.0,-3.6,8,-24.412,7.232,-32.96,-16.57,0.063,3361.625,3386.037,AANBD160TEG6
0.0,127.4,8,-26.261,8.521,-36.06,-17.05,0.029,3343.375,3369.636,AANBD160TEG6
19.3,-96.5,8,-24.319,6.976,-32.15,-16.99,0.01,3348.125,3372.444,AANBD160TEG6
19.3,-19.3,8,-24.054,6.831,-32.06,-16.16,0.003,3358.75,3382.804,AANBD160TEG6
19.3,19.3,8,-23.72,6.596,-32.24,-17.61,0.003,3360.25,3383.97,AANBD160TEG6
19.3,96.5,8,-25.031,7.138,-32.78,-17.01,0.01,3350.0,3375.031,AANBD160TEG6
57.9,-136.2,8,-23.523,5.641,-33.19,-18.7,0.006,3362.625,3386.148,AANBD160TEG6
57.9,57.9,8,-25.094,6.635,-32.06,-18.07,0.009,3350.625,3375.719,AANBD160TEG6
71.2,-69.2,8,-24.511,6.467,-31.48,-17.99,0.008,3348.875,3373.386,AANBD160TEG6
71.2,-3.6,8,-24.502,6.329,-31.84,-17.65,0.062,3351.0,3375.502,AANBD160TEG6
71.2,127.4,8,-26.733,8.601,-38.11,-18.09,0.028,3337.75,3364.483,AANBD160TEG6
94.9,61.8,8,-25.176,6.097,-31.14,-18.17,0.09,3347.0,3372.176,AANBD160TEG6
96.5,-96.5,8,-26.343,8.04,-38.12,-18.09,0.014,3338.25,3364.593,AANBD160TEG6
96.5,19.3,8,-24.679,6.844,-32.09,-16.71,0.01,3348.875,3373.554,AANBD160TEG6
136.2,19.3,8,-26.325,8.726,-37.22,-17.2,0.002,3338.5,3364.825,AANBD160TEG6
136.2,57.9,8,-23.94,7.172,-35.71,-17.16,0.006,3363.125,3387.065,AANBD160TEG6
142.2,-36.2,8,-30.103,8.963,-41.0,-20.97,0.733,3339.25,3369.353,AANBD160TEG6
