WaferID,BTM_X_mm,BTM_Y_mm,BTM_Thickness,TFK_X_mm,TFK_Y_mm,TFK_Thickness,Distance_mm,Thickness_Delta,BTM_File,TFK_File
AANBD204TED2,0.0,-3.6,3394.0,0.0067,-3.6622,3395.350098,0.06255981138078963,-1.350097999999889,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,19.3,-19.3,3385.0,19.3019,-19.3019,3385.159912,0.0026870057685076426,-0.15991200000007666,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,19.3,19.3,3387.0,19.3019,19.3019,3389.01001,0.0026870057685076426,-2.0100099999999657,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,-47.5,-36.4,3376.0,-47.4578,-36.4348,3378.080078,0.054698080405078064,-2.0800779999999577,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,-57.9,19.3,3379.0,-57.9062,19.3019,3381.01001,0.0064845971347489055,-2.0100099999999657,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,-19.3,-57.9,3377.0,-19.3019,-57.9062,3379.040039,0.0064845971347489055,-2.040038999999979,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,-19.3,57.9,3378.0,-19.3019,57.9062,3381.280029,0.0064845971347489055,-3.280029000000013,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,71.2,-3.6,3375.0,71.2039,-3.6622,3376.649902,0.062322146946330315,-1.649902000000111,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,57.9,57.9,3374.0,57.9062,57.9062,3377.790039,0.00876812408671285,-3.790038999999979,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
AANBD204TED2,-71.2,61.9,3373.0,-71.1902,61.8829,3376.830078,0.01970913493788968,-3.8300779999999577,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T22.50.03.1868498-LCTW01516-8374-TFK657-TTG622-MFGM484CDTFK.xml
