WaferID,DMT_X_mm,DMT_Y_mm,DMT_Thickness,TFK_X_mm,TFK_Y_mm,TFK_Thickness,Distance_mm,Thickness_Delta,DMT_File,TFK_File
AANBD202TEC1,0.0,0.0,3349.915,0.0067,-3.6622,3380.530029,3.6622061288245367,-30.61502900000005,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,18.0,18.0,3351.7,19.3019,19.3019,3383.320068,1.8411646368535322,-31.620068000000174,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,18.0,-21.0,3353.03,19.3019,-19.3019,3383.939941,2.1397399888771536,-30.90994099999989,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-48.0,-36.0,3349.068,-47.4578,-36.4348,3381.73999,0.6950049496226653,-32.67198999999982,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-57.0,18.0,3350.829,-57.9062,19.3019,3381.219971,1.5862351811758546,-30.39097099999981,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-18.0,-57.0,3353.156,-19.3019,-57.9062,3382.290039,1.5862351811758546,-29.13403900000003,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-18.0,57.0,3351.739,-19.3019,57.9062,3380.459961,1.5862351811758546,-28.72096099999999,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,72.0,-3.0,3349.406,71.2039,-3.6622,3379.280029,1.035511491969062,-29.874029000000064,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,57.0,57.0,3346.045,57.9062,57.9062,3375.800049,1.2815603302224963,-29.75504899999987,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-72.0,63.0,3343.842,-71.1902,61.8829,3373.149902,1.37974216794298,-29.307902000000013,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,18.0,-96.0,3345.398,19.3019,-96.51,3377.149902,1.398228740228152,-31.751901999999973,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,18.0,96.0,3345.812,19.3019,96.51,3374.780029,1.398228740228152,-28.968029000000115,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,96.0,18.0,3349.269,96.51,19.3019,3377.51001,1.398228740228152,-28.241010000000188,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,72.0,-69.0,3349.994,71.2039,-69.2075,3379.879883,0.8226976722952309,-29.88588299999992,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-96.0,-57.0,3342.79,-96.51,-57.9062,3372.449951,1.0398550091238692,-29.659951000000092,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-57.0,-96.0,3343.878,-57.9062,-96.51,3373.629883,1.0398550091238692,-29.751882999999907,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-57.0,96.0,3343.74,-57.9062,96.51,3373.379883,1.0398550091238692,-29.63988300000028,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,96.0,63.0,3346.544,94.9361,61.8829,3373.72998,1.5426586206935122,-27.1859800000002,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-120.0,-3.0,3339.565,-118.655,-3.6622,3371.580078,1.4991777212859043,-32.0150779999999,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,0.0,126.0,3338.336,0.0067,127.428,3368.719971,1.4280157177006112,-30.3839710000002,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,0.0,-135.0,3338.758,0.0067,-134.7529999,3366.77002,0.24709095369926845,-28.01202000000012,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
