X_mm,Y_mm,Comparison_Type,Delta_Mean,Delta_Std,Abs_Delta,Count,Tool1_Mean,Tool2_Mean
-135.0,-57.0,DMT-TFK,-47.06,7.3,47.06,8.0,3338.98,3386.04
-135.0,57.0,DMT-TFK,-49.15,7.78,49.15,8.0,3339.26,3388.41
-120.0,-3.0,DMT-TFK,-25.81,5.06,25.81,8.0,3344.22,3370.03
-96.0,-57.0,DMT-TFK,-25.47,4.61,25.47,8.0,3346.16,3371.63
-96.0,96.0,DMT-TFK,-24.8,3.42,24.8,8.0,3340.83,3365.62
-72.0,63.0,DMT-TFK,-24.98,4.78,24.98,8.0,3349.16,3374.15
-57.0,-135.0,DMT-TFK,-46.47,4.85,46.47,8.0,3340.04,3386.5
-57.0,-96.0,DMT-TFK,-24.95,3.95,24.95,8.0,3346.11,3371.06
-57.0,18.0,DMT-TFK,-25.78,4.77,25.78,8.0,3353.33,3379.11
-57.0,96.0,DMT-TFK,-25.65,4.3,25.65,8.0,3347.43,3373.08
-57.0,135.0,DMT-TFK,-47.78,8.25,47.78,8.0,3340.2,3387.98
-48.0,-36.0,DMT-TFK,-25.95,4.52,25.95,8.0,3353.05,3379.0
-18.0,-57.0,DMT-TFK,-25.49,4.9,25.49,8.0,3352.67,3378.16
-18.0,57.0,DMT-TFK,-25.96,4.19,25.96,8.0,3353.62,3379.59
0.0,-135.0,DMT-TFK,-26.13,4.38,26.13,8.0,3338.88,3365.02
0.0,0.0,DMT-TFK,-23.58,6.0,23.58,8.0,3362.46,3386.04
0.0,126.0,DMT-TFK,-24.72,4.98,24.72,8.0,3344.92,3369.64
18.0,-96.0,DMT-TFK,-25.05,4.69,25.05,8.0,3347.39,3372.44
18.0,-21.0,DMT-TFK,-26.33,4.69,26.33,8.0,3356.47,3382.8
18.0,18.0,DMT-TFK,-25.89,5.15,25.89,8.0,3358.08,3383.97
18.0,96.0,DMT-TFK,-24.66,4.64,24.66,8.0,3350.37,3375.03
57.0,-135.0,DMT-TFK,-44.03,4.18,44.03,8.0,3342.12,3386.15
57.0,57.0,DMT-TFK,-25.92,4.52,25.92,8.0,3349.8,3375.72
72.0,-69.0,DMT-TFK,-25.5,4.07,25.5,8.0,3347.89,3373.39
72.0,-3.0,DMT-TFK,-25.01,4.0,25.01,8.0,3350.49,3375.5
72.0,126.0,DMT-TFK,-27.05,4.48,27.05,8.0,3337.43,3364.48
96.0,-96.0,DMT-TFK,-24.48,3.76,24.48,8.0,3340.11,3364.59
96.0,18.0,DMT-TFK,-24.71,4.5,24.71,8.0,3348.85,3373.55
96.0,63.0,DMT-TFK,-25.29,3.34,25.29,8.0,3346.88,3372.18
135.0,18.0,DMT-TFK,-25.15,4.75,25.15,8.0,3339.68,3364.83
141.0,-36.0,DMT-TFK,-30.51,4.98,30.51,8.0,3338.84,3369.35
-135.7,-57.4,BTM-DMT,25.02,2.33,25.02,8.0,3364.0,3338.98
-135.7,57.4,BTM-DMT,24.86,1.82,24.86,8.0,3364.12,3339.26
-118.6,-3.6,BTM-DMT,18.91,1.07,18.91,8.0,3363.12,3344.22
-96.5,-57.9,BTM-DMT,18.22,1.35,18.22,8.0,3364.38,3346.16
-96.5,96.5,BTM-DMT,17.8,0.9,17.8,8.0,3358.62,3340.83
-71.2,61.9,BTM-DMT,17.96,1.24,17.96,8.0,3367.12,3349.16
-57.9,-96.5,BTM-DMT,17.89,1.21,17.89,8.0,3364.0,3346.11
-57.9,19.3,BTM-DMT,18.8,1.37,18.8,8.0,3372.12,3353.33
-57.9,96.5,BTM-DMT,18.07,1.38,18.07,8.0,3365.5,3347.43
-57.4,-135.7,BTM-DMT,23.96,1.81,23.96,8.0,3364.0,3340.04
-57.4,135.7,BTM-DMT,24.3,2.04,24.3,8.0,3364.5,3340.2
