X_mm,Y_mm,Comparison_Type,Delta_Mean,Delta_Std,Abs_Delta,Count,Tool1_Mean,Tool2_Mean
-135.0,-57.0,DMT-TFK,-27.06,7.3,27.06,8.0,3358.98,3386.04
-135.0,57.0,DMT-TFK,-29.15,7.78,29.15,8.0,3359.26,3388.41
-120.0,-3.0,DMT-TFK,-25.81,5.06,25.81,8.0,3344.22,3370.03
-96.0,-57.0,DMT-TFK,-25.47,4.61,25.47,8.0,3346.16,3371.63
-96.0,96.0,DMT-TFK,-24.8,3.42,24.8,8.0,3340.83,3365.62
-72.0,63.0,DMT-TFK,-24.98,4.78,24.98,8.0,3349.16,3374.15
-57.0,-135.0,DMT-TFK,-26.47,4.85,26.47,8.0,3360.04,3386.5
-57.0,-96.0,DMT-TFK,-24.95,3.95,24.95,8.0,3346.11,3371.06
-57.0,18.0,DMT-TFK,-25.78,4.77,25.78,8.0,3353.33,3379.11
-57.0,96.0,DMT-TFK,-25.65,4.3,25.65,8.0,3347.43,3373.08
-57.0,135.0,DMT-TFK,-27.78,8.25,27.78,8.0,3360.2,3387.98
-48.0,-36.0,DMT-TFK,-25.95,4.52,25.95,8.0,3353.05,3379.0
-18.0,-57.0,DMT-TFK,-25.49,4.9,25.49,8.0,3352.67,3378.16
-18.0,57.0,DMT-TFK,-25.96,4.19,25.96,8.0,3353.62,3379.59
0.0,-135.0,DMT-TFK,-26.13,4.38,26.13,8.0,3338.88,3365.02
0.0,0.0,DMT-TFK,-23.58,6.0,23.58,8.0,3362.46,3386.04
0.0,126.0,DMT-TFK,-24.72,4.98,24.72,8.0,3344.92,3369.64
18.0,-96.0,DMT-TFK,-25.05,4.69,25.05,8.0,3347.39,3372.44
18.0,-21.0,DMT-TFK,-26.33,4.69,26.33,8.0,3356.47,3382.8
18.0,18.0,DMT-TFK,-25.89,5.15,25.89,8.0,3358.08,3383.97
18.0,96.0,DMT-TFK,-24.66,4.64,24.66,8.0,3350.37,3375.03
57.0,-135.0,DMT-TFK,-24.03,4.18,24.03,8.0,3362.12,3386.15
57.0,57.0,DMT-TFK,-25.92,4.52,25.92,8.0,3349.8,3375.72
72.0,-69.0,DMT-TFK,-25.5,4.07,25.5,8.0,3347.89,3373.39
72.0,-3.0,DMT-TFK,-25.01,4.0,25.01,8.0,3350.49,3375.5
72.0,126.0,DMT-TFK,-27.05,4.48,27.05,8.0,3337.43,3364.48
96.0,-96.0,DMT-TFK,-24.48,3.76,24.48,8.0,3340.11,3364.59
96.0,18.0,DMT-TFK,-24.71,4.5,24.71,8.0,3348.85,3373.55
96.0,63.0,DMT-TFK,-25.29,3.34,25.29,8.0,3346.88,3372.18
135.0,18.0,DMT-TFK,-25.15,4.75,25.15,8.0,3339.68,3364.83
141.0,-36.0,DMT-TFK,-30.51,4.98,30.51,8.0,3338.84,3369.35
-136.2,-57.9,BTM-DMT,21.92,3.54,21.92,16.0,3364.88,3342.95
-136.2,57.9,BTM-DMT,22.34,4.74,22.34,16.0,3365.12,3342.78
-118.6,-3.6,BTM-DMT,-2.65,5.65,2.65,16.0,3343.94,3346.59
-96.5,-57.9,BTM-DMT,-3.21,5.62,3.21,16.0,3346.56,3349.77
-96.5,96.5,BTM-DMT,-6.08,8.37,6.08,16.0,3335.88,3341.96
-71.2,61.9,BTM-DMT,-1.69,2.88,1.69,16.0,3352.69,3354.38
-57.9,-136.2,BTM-DMT,21.52,3.98,21.52,16.0,3364.56,3343.04
-57.9,-96.5,BTM-DMT,-2.79,5.65,2.79,16.0,3346.44,3349.23
-57.9,19.3,BTM-DMT,0.61,3.08,0.61,16.0,3362.0,3361.39
-57.9,96.5,BTM-DMT,-3.27,5.27,3.27,16.0,3347.06,3350.34
-57.9,136.2,BTM-DMT,20.95,4.48,20.95,16.0,3364.75,3343.8
-47.5,-36.4,BTM-DMT,0.72,3.36,0.72,16.0,3362.06,3361.35
-19.3,-57.9,BTM-DMT,0.48,2.6,0.48,16.0,3361.25,3360.77
-19.3,57.9,BTM-DMT,0.7,2.49,0.7,16.0,3362.0,3361.3
0.0,-134.7,BTM-DMT,-5.25,8.56,5.25,16.0,3335.38,3340.62
0.0,-3.6,BTM-DMT,0.89,5.25,0.89,16.0,3371.44,3370.55
0.0,127.4,BTM-DMT,-5.18,6.77,5.18,16.0,3340.75,3345.93
19.3,-96.5,BTM-DMT,-1.55,4.07,1.55,16.0,3350.81,3352.36
19.3,-19.3,BTM-DMT,2.8,4.21,2.8,16.0,3369.88,3367.07
19.3,19.3,BTM-DMT,2.78,4.47,2.78,16.0,3370.5,3367.72
19.3,96.5,BTM-DMT,-2.22,3.94,2.22,16.0,3352.06,3354.28
57.9,-136.2,BTM-DMT,21.19,4.22,21.19,16.0,3365.56,3344.37
57.9,57.9,BTM-DMT,-0.68,2.88,0.68,16.0,3355.06,3355.74
71.2,-69.2,BTM-DMT,-1.66,4.2,1.66,16.0,3351.19,3352.85
71.2,-3.6,BTM-DMT,-0.07,2.77,0.07,16.0,3357.5,3357.57
71.2,127.4,BTM-DMT,-4.35,8.9,4.35,16.0,3335.06,3339.41
94.9,61.8,BTM-DMT,-2.91,4.97,2.91,16.0,3346.56,3349.47
96.5,-96.5,BTM-DMT,-5.95,8.46,5.95,16.0,3335.12,3341.07
96.5,19.3,BTM-DMT,-2.12,4.09,2.12,16.0,3351.25,3353.37
136.2,19.3,BTM-DMT,-6.39,9.27,6.39,16.0,3334.75,3341.14
141.9,-35.9,BTM-DMT,-3.31,7.99,3.31,16.0,3337.25,3340.56
-136.2,-57.9,BTM-TFK,-24.16,5.72,24.16,8.0,3361.88,3386.04
-136.2,57.9,BTM-TFK,-25.41,7.28,25.41,8.0,3363.0,3388.41
-118.6,-3.6,BTM-TFK,-25.53,7.53,25.53,8.0,3344.5,3370.03
-96.5,-57.9,BTM-TFK,-25.38,6.99,25.38,8.0,3346.25,3371.63
-96.5,96.5,BTM-TFK,-26.5,7.89,26.5,8.0,3339.12,3365.62
-71.2,61.9,BTM-TFK,-25.15,6.81,25.15,8.0,3349.0,3374.15
-57.9,-136.2,BTM-TFK,-24.5,5.09,24.5,8.0,3362.0,3386.5
-57.9,-96.5,BTM-TFK,-24.81,7.2,24.81,8.0,3346.25,3371.06
-57.9,19.3,BTM-TFK,-24.36,6.09,24.36,8.0,3354.75,3379.11
-57.9,96.5,BTM-TFK,-26.08,7.83,26.08,8.0,3347.0,3373.08
-57.9,136.2,BTM-TFK,-26.23,7.12,26.23,8.0,3361.75,3387.98
-47.5,-36.4,BTM-TFK,-24.25,6.49,24.25,8.0,3354.75,3379.0
-19.3,-57.9,BTM-TFK,-24.29,6.2,24.29,8.0,3353.88,3378.16
-19.3,57.9,BTM-TFK,-24.96,6.6,24.96,8.0,3354.62,3379.59
0.0,-134.7,BTM-TFK,-26.64,7.25,26.64,8.0,3338.38,3365.02
0.0,-3.6,BTM-TFK,-24.41,7.23,24.41,8.0,3361.62,3386.04
0.0,127.4,BTM-TFK,-26.26,8.52,26.26,8.0,3343.38,3369.64
19.3,-96.5,BTM-TFK,-24.32,6.98,24.32,8.0,3348.12,3372.44
19.3,-19.3,BTM-TFK,-24.05,6.83,24.05,8.0,3358.75,3382.8
19.3,19.3,BTM-TFK,-23.72,6.6,23.72,8.0,3360.25,3383.97
19.3,96.5,BTM-TFK,-25.03,7.14,25.03,8.0,3350.0,3375.03
57.9,-136.2,BTM-TFK,-23.52,5.64,23.52,8.0,3362.62,3386.15
57.9,57.9,BTM-TFK,-25.09,6.64,25.09,8.0,3350.62,3375.72
71.2,-69.2,BTM-TFK,-24.51,6.47,24.51,8.0,3348.88,3373.39
71.2,-3.6,BTM-TFK,-24.5,6.33,24.5,8.0,3351.0,3375.5
71.2,127.4,BTM-TFK,-26.73,8.6,26.73,8.0,3337.75,3364.48
94.9,61.8,BTM-TFK,-25.18,6.1,25.18,8.0,3347.0,3372.18
96.5,-96.5,BTM-TFK,-26.34,8.04,26.34,8.0,3338.25,3364.59
96.5,19.3,BTM-TFK,-24.68,6.84,24.68,8.0,3348.88,3373.55
136.2,19.3,BTM-TFK,-26.33,8.73,26.33,8.0,3338.5,3364.83
136.2,57.9,BTM-TFK,-23.94,7.17,23.94,8.0,3363.12,3387.06
141.9,-35.9,BTM-TFK,-30.1,8.96,30.1,8.0,3339.25,3369.35
