WaferID,DMT_X_mm,DMT_Y_mm,TFK_X_mm,TFK_Y_mm,DMT_Thickness,TFK_Thickness,Distance_mm,Thickness_Delta,DMT_File,TFK_File
AANBD159TED5,0.0,0.0,0.0067,-3.6622,3349.712,3376.919922,3.6622061288245367,-27.207922000000053,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,18.0,18.0,19.3019,19.3019,3344.474,3373.689941,1.8411646368535322,-29.21594099999993,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,18.0,-21.0,19.3019,-19.3019,3343.217,3374.060059,2.1397399888771536,-30.843058999999812,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,-48.0,-36.0,-47.4578,-36.4348,3340.395,3370.169922,0.6950049496226653,-29.77492200000006,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,-57.0,18.0,-57.9062,19.3019,3339.099,3367.189941,1.5862351811758546,-28.09094099999993,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,-18.0,-57.0,-19.3019,-57.9062,3336.877,3368.379883,1.5862351811758546,-31.50288300000011,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,-18.0,57.0,-19.3019,57.9062,3339.354,3370.149902,1.5862351811758546,-30.795902000000297,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,72.0,-3.0,71.2039,-3.6622,3338.998,3366.840088,1.035511491969062,-27.842087999999876,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,57.0,57.0,57.9062,57.9062,3336.68,3365.949951,1.2815603302224963,-29.26995100000022,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,-72.0,63.0,-71.1902,61.8829,3334.428,3363.5,1.37974216794298,-29.072000000000116,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,18.0,-96.0,19.3019,-96.51,3335.092,3361.719971,1.398228740228152,-26.62797099999989,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,18.0,96.0,19.3019,96.51,3336.085,3363.909912,1.398228740228152,-27.82491200000004,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,96.0,18.0,96.51,19.3019,3336.604,3362.060059,1.398228740228152,-25.456059000000096,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,72.0,-69.0,71.2039,-69.2075,3335.698,3364.47998,0.8226976722952309,-28.781980000000203,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,-96.0,-57.0,-96.51,-57.9062,3332.856,3361.610107,1.0398550091238692,-28.75410699999975,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,-57.0,-96.0,-57.9062,-96.51,3333.675,3361.77002,1.0398550091238692,-28.09501999999975,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,-57.0,96.0,-57.9062,96.51,3334.908,3363.01001,1.0398550091238692,-28.102010000000064,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,96.0,63.0,94.9361,61.8829,3336.079,3363.139893,1.5426586206935122,-27.06089299999985,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,-120.0,-3.0,-118.655,-3.6622,3330.436,3358.639893,1.4991777212859043,-28.20389299999988,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,0.0,126.0,0.0067,127.428,3333.307,3360.060059,1.4280157177006112,-26.75305900000012,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,0.0,-135.0,0.0067,-134.7529999,3325.405,3355.659912,0.24709095369926845,-30.254911999999877,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,-96.0,96.0,-96.51,96.51,3328.428,3356.889893,0.7212489168102857,-28.461893000000146,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,96.0,-96.0,96.51,-96.51,3329.056,3356.570068,0.7212489168102857,-27.514067999999952,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,135.0,18.0,136.2,19.3019,3328.565,3356.790039,1.7705771968485227,-28.225038999999924,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,72.0,126.0,71.2039,127.428,3327.317,3353.899902,1.6349187166339447,-26.582902000000104,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,141.0,-36.0,142.401,-36.4348,3328.03,3360.419922,1.466919234313884,-32.38992199999984,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,-135.0,-57.0,-136.2,-57.9062,3327.951,3379.280029,1.503728180224062,-51.32902899999999,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,-135.0,57.0,-136.2,57.9062,3327.323,3382.300049,1.503728180224062,-54.97704900000008,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,-57.0,-135.0,-57.9062,-136.2,3329.193,3377.780029,1.503728180224062,-48.5870289999998,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,-57.0,135.0,-57.9062,136.2,3326.933,3381.179932,1.503728180224062,-54.246932000000015,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,57.0,-135.0,57.9062,-136.2,3332.912,3378.699951,1.503728180224062,-45.78795100000025,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD182TEC1,0.0,0.0,0.0067,-3.6622,3351.246,3378.399902,3.6622061288245367,-27.153902000000016,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD182TEC1,18.0,18.0,19.3019,19.3019,3354.162,3384.600098,1.8411646368535322,-30.438098000000082,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD182TEC1,18.0,-21.0,19.3019,-19.3019,3354.199,3385.810059,2.1397399888771536,-31.61105899999984,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD182TEC1,-48.0,-36.0,-47.4578,-36.4348,3355.29,3385.370117,0.6950049496226653,-30.080116999999973,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD182TEC1,-57.0,18.0,-57.9062,19.3019,3352.063,3383.080078,1.5862351811758546,-31.017077999999856,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD182TEC1,-18.0,-57.0,-19.3019,-57.9062,3353.003,3383.719971,1.5862351811758546,-30.71697099999983,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD182TEC1,-18.0,57.0,-19.3019,57.9062,3353.115,3382.959961,1.5862351811758546,-29.84496100000024,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD182TEC1,72.0,-3.0,71.2039,-3.6622,3349.966,3379.899902,1.035511491969062,-29.933902000000217,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD182TEC1,57.0,57.0,57.9062,57.9062,3348.515,3380.199951,1.2815603302224963,-31.684951000000183,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD182TEC1,-72.0,63.0,-71.1902,61.8829,3348.265,3379.860107,1.37974216794298,-31.595107000000098,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD182TEC1,18.0,-96.0,19.3019,-96.51,3351.301,3380.580078,1.398228740228152,-29.279078000000027,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD182TEC1,18.0,96.0,19.3019,96.51,3347.985,3378.139893,1.398228740228152,-30.154892999999902,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD182TEC1,96.0,18.0,96.51,19.3019,3346.916,3378.399902,1.398228740228152,-31.483901999999944,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD182TEC1,72.0,-69.0,71.2039,-69.2075,3350.829,3381.26001,0.8226976722952309,-30.431009999999787,2026-03-26T10.03.50.2581867-LCTW01516-8374-DMT115-TTG624-DMTDUMMY.xml,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
